내일|tomorrow
친하다|to be close, to be friends
쓰다|to write
받다|to receive
기쁘다|to be glad, to be pleased
선물|present, gift
무엇|what
좋다|to be good
귀고리|earrings
목걸이|necklace
오늘|today
생일|birthday
교실|classroom
먹다|to eat
친구|friend
노래|song
춤|dance
축하하다|to congratulate, to celebrate
재미있다|to be fun
하루|day, one day
아빠|dad
바다|sea, ocean
걷다|to walk
식당|restaurant
맛있다|to be delicious
음식|food
커피|coffee
별|star
보다|to see, to watch, to meet, to read
행복하다|to be happy
여름|summer
싫어하다|to dislike, to hate
덥다|to be hot, to be warm
밖|outside
나가다|to go out
집|house, home
에어컨|air conditioner
켜다|to turn on
시원하다|to be cool (temperature)
얼음|ice
벌써|already
밤|night
침대|bed
눕다|to lie down
잠|sleep
화장실|bathroom
책|book
읽다|to read
냉장고|refrigerator
우유|milk
컵|cup
뜨겁다|to be hot (boiling hot)
컴퓨터|computer
이메일|e-mail
노트북|laptop computer
충전하다|to charge
중요하다|to be important
거울|mirror
화장품|make-up product
바르다|to apply, to put on
옆|side, next to
부부|married couple
초대|invitation
오후|afternoon
도착|arrival
딸|daughter
나이|age
같다|to be the same, to be like
유치원|kindergarten
사이|relationship, relation
아들|son
게임|game
요일|day of the week
아침|morning
점심|lunch
밥|rice, food, meal
화나다|to feel angry, to get angry
걱정|worry, concern
왜|why
공부|study
누낌|feeling
달력|calendar
날짜|date (time)
모양|shape
아래|down, below
전화번호|phone number
잊어버리다|to forget
빨리|fast, quickly
예약|reservation
출발하다|to depart
시골|countryside
도시|city
시끄럽다|to be noisy
조용하다|to be quiet
등산|hiking
높다|to be high
낮다|to be low
해|the sun
어둡다|to be dark
내려가다|to go down
