인터넷|the Internet
치마|skirt
주문하다|to order
실패|failure
작다|to be small
쇼핑|shopping
어렵다|to be difficult, to be hard
성공|success
다음|next
모자|hat, cap
약속|promise, plan, appointment
늦다|to be late
택시|taxi, cab
오토바이|motorcycle
사고|accident
경찰|police
문자|text message
보내다|to send, to spend (time)
허리|lower back, waist, the small of one's back
조금|a little, a bit
가수|singer
인기|popularity
나라|country, nation
한국어|Korean (language)
필요하다|to need, to be necessary
단어|word
귀|ear
지도|map
주소|address
궁금하다|to be curious
문|door
열다|to open
감기|cold (illness)
열|fever
코|nose
나오다|to come out
약국|pharmacy
약|medicine
차|tea
건강|health
사과|apple
바나나|banana
일하다|to work
오이|cucumber
토마토|tomato
배|belly, stomach
마음|mind, heart
약하다|to be weak
몸무게|body weight, one's weight
절대|absolutely
어제|yesterday
운동|exercise
넘어지다|to fall down
손|hand
다치다|to get hurt
아프다|to be sick, to hurt
병원|hospital
의사|doctor
쉬다|to rest
힘들다|to be difficult, to be tiring, to be hard
학생|student
자전거|bicycle
다니다|to attend, to go to (regularly)
비|rain
우산|umbrella
없다|to not have, to not be, to not exist
신발|shoe
벗다|to take off (clothing)
발|foot
목욕|bath
오빠|older brother (for a girl)
가끔|sometimes
거짓말|lie
짜증|frustration, anger, irritation
오전|morning, before noon
머리|head, hair
벌레|bug, worm
놀라다|to be surprised
싫다|to hate, to dislike, to be displeasing
이상하다|to be strange, to be weird
저녁|evening
엄마|mom
마트|supermarket
고기|meat
사다|to buy
생선|fish
채소|vegetable
말하다|to talk, to speak
달걀|egg
요리|cooking, food, dish
할아버지|grandfather, old man
산|mountain
올라가다|to go up
믿다|to trust, to believe
사람|person, people
새|bird
나무|tree, wood
냄새|smell
몸|body
움직이다|to move
