공항|airport
넓다|to be spacious, to be wide
길|road, street
잃어버리다|to lose, to misplace
여기|here
어디|where
서점|bookstore
들어가다|to enter, to go in
물어보다|to ask
찿다|to find, to look for
대학교|university, college
역|station
가깝다|to be near, to be close
오른쪽|right side, right-hand side
은행|bank
왼쪽|left side, left-hand side
편의점|convenience store
앞|front
건너다|to cross
다시|again (implies intention)
색깔|color
검은색|black
지갑|wallet
자동차|car
가방|bag
언제|when
모르다|to not know
형|older brother (for a boy)
하얀색|white
다르다|to be different
착하다|to be nice, to be kind-hearted
문제|problem, matter
연필|pencil
빌려주다|to lend
펜|pen
또|again
이유|reason
미치다|to be crazy, to go crazy
나쁘다|to be bad
아니다|to not be
결혼|marriage, wedding
식물|plant
카드|card
정하다|to decide, to choose
싸다|to be cheap, to be inexpensive
끓이다|to boil
달다|to be sweet
쓰다|to be bitter
실망|disappointment
계획|plan
팔다|to sell
털|fur, hair
반지|ring
짧다|to be short
때|time, when
라디오|radio
유리|glass
신문|newpaper
종이|paper
인사|greeting
쌍둥이|twin
어리다|to be young
비슷하다|to be similar
생각하다|to think
쉽다|to be easy
안경|glasses
입|mouth
멀다|to be far
뒤|behind, after
실수|mistake
축구|soccer
농구|basketball
야구|baseball
지나다|to pass
이기다|to win
팔|arm
비밀|secret
발가락|toe
영거|English (language)
사전|dictionary
주차장|parking lot
고르다|to pick, to choose
표|ticket
세다|to count
불|fire, light
날다|to fly
지구|earth
우주|cosmos, universe, space
알아듣다|to understand, to get, to see
바꾸다|to change
운전|driving
느리다|to be slow
내리다|to get off/out of (a vechicle)
열쇠|key
잡다|to grab, to hold
그것|it, that thing
가볍다|to be light
휴지|tissue, toilet paper, trash
맞다|to be correct, to be right
서다|to stand
