수건|towel
깨끗하다|to be clean
겨울|winter
닫다|to close
춤|dance
바다|sea, ocean
걷다|to walk
행복하다|to be happy
여름|summer
얼음|ice
눕다|to lie down
충전하다|to charge
중요하다|to be important
거울|mirror
바르다|to apply, to put on
모양|shape
아래|down, below
조용하다|to be quiet
구름|cloud
층|floor
상지|box
들다|to lift, to carry
거실|living room
벽|wall
그림|painting, drawing, picture
시계|clock
부엌|kitchen
지우다|to erase, to wash off
씻다|to wash
부르다|to call
찍다|to take, to film
유명하다|to be famous
따뜻하다|to be (pleasantly) warm
꽃|flower
바람|wind
장갑|glove
썰다|to chop, to cut
빨래|laundry
설거지|doing the dishes
베개|pillow
쓰레기|trash
버리다|to throw away
시장|market
성공|success
사고|accident
문자|text message
단어|word
궁금하다|to be curious
열다|to open
약하다|to be weak
몸무게|body weight, one's weight
절대|absolutely
우산|umbrella
목욕|bath
짜증|frustration, anger, irritation
오전|morning, before noon
놀라다|to be surprised
생선|fish
채소|vegetable
달걀|egg
믿다|to trust, to believe
움직이다|to move
공항|airport
넓다|to be spacious, to be wide
잃어버리다|to lose, to misplace
가깝다|to be near, to be close
검은색|black
지갑|wallet
하얀색|white
착하다|to be nice, to be kind-hearted
문제|problem, matter
연필|pencil
이유|reason
미치다|to be crazy, to go crazy
식물|plant
정하다|to decide, to choose
달다|to be sweet
쓰다|to be bitter
실망|disappointment
털|fur, hair
반지|ring
짧다|to be short
유리|glass
신문|newpaper
종이|paper
쌍둥이|twin
어리다|to be young
입|mouth
멀다|to be far
실수|mistake
지나다|to pass
이기다|to win
주차장|parking lot
고르다|to pick, to choose
표|ticket
세다|to count
불|fire, light
운전|driving
느리다|to be slow
내리다|to get off/out of (a vechicle)
열쇠|key
잡다|to grab, to hold
가볍다|to be light
휴지|tissue, toilet paper, trash
서다|to stand
