개|dog
있다|to exist, to have, to be (at a place)
이름|name
시간|time
살다|to live
죽다|to die
슬프다|to be sad
동생|younger sibling
울다|to cry
눈물|tear
수영|swimming
수건|towel
가게|store
돈|money
빌리다|to borrow, to rent
비누|soap
차갑다|to be cold
어깨|shoulder
힘|strength, power
가르치다|to teach
나|I, me (casual)
회사원|company employee
너무|too, very
바쁘다|to be busy
우리|we, our
보통|usually, usual, regular
주말|weekend
만나다|to meet
영화|movie
카페|cafe
매일|every day
일찍|early
일어나다|to get up, to wake up
물|water
마시다|to drink
세수|washing one's face
옷|clothes
입다|to wear, to put on
화장|make-up
회사|company
시험|test, exam
의자|chair
책상|desk
더럽다|to be dirty
위|up, top
청소|cleaning
깨끗하다|to be clean
공책|notebook
필통|pencil case
시작하다|to begin, to start
배고프다|to be hungry
아까|earlier
빵|bread
음료수|beverage
주다|to give
지금|now
배부르다|to be full
졸다|to doze
선생님|teacher
무섭다|to be scary, to be scared
어린이|child
학교|school
가족|family
공원|park
많다|to be a lot, to be numerous
어른|adult, grown-up
아기|baby
적다|to be few, to be little
신기하다|to be interesting, to be fascinating
어떻게|how
겨울|winter
방학|school vacation
할머니|grandmother
가다|to go
버스|bus
지하철|subway
타다|to ride
고양이|cat
동물|animal
놀다|to hang out, to play
휴가|vacation, leave
남자|man
여자|woman
샴푸|shampoo
린스|hair conditioner
속옷|underwear
양말|socks
드라이기|hairdryer
바지|pants
티셔츠|t-shirt
누나|older sister (for a boy)
텔레비전|television
드라마|TV drama
뉴스|news
싸우다|to fight, to argue
지다|to lose
방|room
닫다|to close
음악|music
듣다|to listen, to hear
내일|tomorrow
친하다|to be close, to be friends
쓰다|to write
받다|to receive
기쁘다|to be glad, to be pleased
선물|present, gift
무엇|what
좋다|to be good
귀고리|earrings
목걸이|necklace
오늘|today
생일|birthday
교실|classroom
먹다|to eat
친구|friend
노래|song
춤|dance
축하하다|to congratulate, to celebrate
재미있다|to be fun
하루|day, one day
아빠|dad
바다|sea, ocean
걷다|to walk
식당|restaurant
맛있다|to be delicious
음식|food
커피|coffee
별|star
보다|to see, to watch, to meet, to read
행복하다|to be happy
여름|summer
싫어하다|to dislike, to hate
덥다|to be hot, to be warm
밖|outside
나가다|to go out
집|house, home
에어컨|air conditioner
켜다|to turn on
시원하다|to be cool (temperature)
얼음|ice
벌써|already
밤|night
침대|bed
눕다|to lie down
잠|sleep
화장실|bathroom
책|book
읽다|to read
냉장고|refrigerator
우유|milk
컵|cup
뜨겁다|to be hot (boiling hot)
컴퓨터|computer
이메일|e-mail
노트북|laptop computer
충전하다|to charge
중요하다|to be important
거울|mirror
화장품|make-up product
바르다|to apply, to put on
옆|side, next to
부부|married couple
초대|invitation
오후|afternoon
도착|arrival
딸|daughter
나이|age
같다|to be the same, to be like
유치원|kindergarten
사이|relationship, relation
아들|son
게임|game
요일|day of the week
아침|morning
점심|lunch
밥|rice, food, meal
화나다|to feel angry, to get angry
걱정|worry, concern
왜|why
공부|study
누낌|feeling
달력|calendar
날짜|date (time)
모양|shape
아래|down, below
전화번호|phone number
잊어버리다|to forget
빨리|fast, quickly
예약|reservation
출발하다|to depart
시골|countryside
도시|city
시끄럽다|to be noisy
조용하다|to be quiet
등산|hiking
높다|to be high
낮다|to be low
해|the sun
어둡다|to be dark
내려가다|to go down
연예인|entertainer, celebrity
누구|who
키|one's height
크다|to be big
웃다|to laugh, to smile
얼굴|face
귀엽다|to be cute
눈|eye
다리|leg
길다|to be long
언니|older sister (for a girl)
같이|together
여행|travel
비행기|airplane
처음|beginning, for the first time
창문|window
앉다|to sit
이따가|later
하늘|sky
구름|cloud
연락|contact, contacting
도와주다|to help
층|floor
엘리베이터|elevator
무겁다|to be heavy
상지|box
들다|to lift, to carry
넣다|to put in, to add
좁다|to be narrow
빼다|to take out, to pull out
이사|moving
혼자|alone
멋있다|to be cool, to be awesome
거실|living room
벽|wall
그림|painting, drawing, picture
시계|clock
부엌|kitchen
만들다|to make
쓰다|to use
지우다|to erase, to wash off
씻다|to wash
버섯|mushroom
당근|carrot
부르다|to call
다|all, every
산책|walk
밝다|to be bright
편하다|to be comfortable
감사|gratitude
꿈|dream
사진|photo
배우다|to learn
카메라|camera
가격|price
비싸다|to be expensive
휴대폰|mobile phone, cell phone
찍다|to take, to film
연습하다|to practice
유명하다|to be famous
봄|spring (season)
오다|to come
날씨|weather
따뜻하다|to be (pleasantly) warm
예쁘다|to be pretty
꽃|flower
딸기|strawberry
빨간색|red (color)
좋아하다|to like
과일|fruit
기다리다|to wait
눈|snow
바람|wind
춥다|to be cold
자주|often
안|inside
전화하다|to call, to telephone
알다|to know
장갑|glove
목도리|scarf
잘하다|to do well, to be good at
맛|taste
못하다|to not to well, to be bad at
사랑|love
양파|onion
감자|potato
칼|knife
썰다|to chop, to cut
손가락|finger
배달|delivery
손님|guest
빨래|laundry
설거지|doing the dishes
이불|blanket
베개|pillow
쓰레기|trash
버리다|to throw away
시장|market
과자|snack
준비하다|to prepare
인터넷|the Internet
치마|skirt
주문하다|to order
실패|failure
작다|to be small
쇼핑|shopping
어렵다|to be difficult, to be hard
성공|success
다음|next
모자|hat, cap
약속|promise, plan, appointment
늦다|to be late
택시|taxi, cab
오토바이|motorcycle
사고|accident
경찰|police
문자|text message
보내다|to send, to spend
허리|lower back, waist, the small of one's back
조금|a little, a bit
가수|singer
인기|popularity
나라|country, nation
한국어|Korean (language)
필요하다|to need, to be necessary
단어|word
귀|ear
지도|map
주소|address
궁금하다|to be curious
문|door
열다|to open
감기|cold (illness)
열|fever
코|nose
나오다|to come out
약국|pharmacy
약|medicine
차|tea
건강|health
사과|apple
바나나|banana
일하다|to work
오이|cucumber
토마토|tomato
배|belly, stomach
마음|mind, heart
약하다|to be weak
몸무게|body weight, one's weight
절대|absolutely
어제|yesterday
운동|exercise
넘어지다|to fall down
손|hand
다치다|to get hurt
아프다|to be sick, to hurt
병원|hospital
의사|doctor
쉬다|to rest
힘들다|to be difficult, to be tiring, to be hard
학생|student
자정거|bicycle
다니다|to attend, to go to (regularly)
비|rain
우산|umbrella
없다|to not have, to not be, to not exist
신발|shoe
벗다|to take off (clothing)
발|foot
목욕|bath
오빠|older brother (for a girl)
가끔|sometimes
거짓말|lie
짜증|frustration, anger, irritation
오전|morning, before noon
머리|head, hair
벌레|bug, worm
놀라다|to be surprised
싫다|to hate, to dislike, to be displeasing
이상하다|to be strange, to be weird
저녁|evening
엄마|mom
마트|supermarket
고기|meat
사다|to buy
생선|fish
채소|vegetable
말하다|to talk, to speak
달걀|egg
요리|cooking, food, dish
할아버지|grandfather, old man
산|mountain
올라가다|to go up
믿다|to trust, to believe
사람|person, people
새|bird
나무|tree, wood
냄새|smell
몸|body
움직이다|to move
공항|airport
넓다|to be spacious, to be wide
길|road, street
잃어버리다|to lose, to misplace
여기|here
어디|where
서점|bookstore
들어가다|to enter
물어보다|to ask
찿다|to find, to look for
대학교|university, college
역|station
가깝다|to be near, to be close
오른쪽|right side, right-hand side
은행|bank
왼쪽|left side, left-hand side
편의점|convenience store
앞|front
건너다|to cross
다시|again (implies intention)
색깔|color
검은색|black
지갑|wallet
자동차|car
가방|bag
언제|when
모르다|to not know
형|older brother (for a boy)
하얀색|white
다르다|to be different
착하다|to be nice, to be kind-hearted
문제|problem, matter
연필|pencil
빌려주다|to lend
펜|pen
또|again
이유|reason
미치다|to be crazy, to go crazy
나쁘다|to be bad
아니다|to not be
결혼|marriage, wedding
식물|plant
카드|card
정하다|to decide, to choose
싸다|to be cheap, to be inexpensive
끓이다|to boil
달다|to be sweet
쓰다|to be bitter
실망|disappointment
계획|plan
팔다|to sell
털|fur, hair
반지|ring
짧다|to be short
때|time, when
라디오|radio
유리|glass
신문|newpaper
종이|paper
인사|greeting
쌍둥이|twin
어리다|to be young
비슷하다|to be similar
생각하다|to think
쉽다|to be easy
안경|glasses
입|mouth
멀다|to be far
뒤|behind, after
실수|mistake
축구|soccer
농구|basketball
야구|baseball
지나다|to pass
이기다|to win
팔|arm
비밀|secret
발가락|toe
영거|English (language)
사전|dictionary
주차장|parking lot
고르다|to pick, to choose
표|ticket
세다|to count
불|fire, light
날다|to fly
지구|earth
