7월부터 8월까지|from July to August
여기부터 저기까지|from here to there
질문할게요|I will/let me ask a question
들어갈게요|I will/let me go in
시험 보고 싶어요|I want to take a test
가고 싶어요|I want to go
이것도|this one also
다음 달도|next month also
줘 보다|to try giving
입어 보다|to try wearing
주방은 어때요?|how about a kitchen?
학교는 어때요?|how about your school?
드리세요|give (honorific)
기다리세요|wait (honorific)
더 죄송하다|to be more sorry
더 따뜻하다|to be warmer
수영 잘해요|I am good at swimming
인테리어 잘해요|I am good at interior design
들어올래?|do you want to come in? (casual)
갈래?|do you want to go? (casual)
