볶아 줘|please fry it (casual)
기다려 줘|please wait (casual)
그냥 따자|let's just open
그냥 넣자|let's just add
카드도 주세요|please give me a card, too
주소도 주세요|please give me your address, too
컴퓨터 돼요?|does the computer work?
핸드폰 돼요?|does the cellphone work?
안 아파요|I am not sick
안 줘요|I don't give it
하루에 한 번|once a day
한 달에 두 번|twice a month
보세요|look (honorific)
공부하세요|study (honorific)
배랑 등|my stomach and my back
물이랑 술|water and alcohol
감기 아니야|it's not a cold (casual)
병원 아니야|it's not a hospital (casual)
일주일 정도 됐어요|it's been about a week
일 년 정도 됐어요|it's been about a year
