오세요?|are you coming? (honorific)
늦으세요?|are you being late? (honorific)
다 먹었어요|I've eaten it all
다 했어요|I've done it all
아직 못 했어요|I still haven't be able to do it
아직 못 앉았어요|I still haven't been able to sit down
학교에서|at school
지하철역에서|at the subway station
반대편으로|toward the opposite side
버스 정류장으로|toward the bus stop
2호선이지?|it is line number 2, right?
없지?|there isn't, right?
탈 때|when I ride
먹을 때|when I eat
벗고 씻다|to take off clothes and take a shower
들고 타다|to carry something and ride
살 수 있다|can buy (to be able to)
먹을 수 있다|can eat (to be able to)
비쌀 수도 있다|to might be expensive
갈 수도 있다|to might go
