개인|individual
인물|person
인사|greeting
노인|elderly, old person
인간|human
인구|population
인기|popularity
부인|wife
외국인|foreigner
주인|owner
입구|entrance
입학|starting school
출입|going in and out
수입|income
신입생|first year student
입원|being hospitalized
입사|joining a company
입장료|admission
입양|adoption
입금|deposit
시작|start
작가|author
작품|work of art
제작|making, production
작업|work
조작|fabrication
작문|writing
작곡|music composition
작사|writing lyrics
명작|masterpiece
대표|representative
시대|historical period
세대|generation
교대|rotation, taking turns
대리|substitute
대역|understudy, stand-in
십대|teenage years
대신|instead
작년|last year
내년|next year
매년|every year
연말|the end of the year
학년|grade
소년|boy
신년|new year
연하|being younger than someone
중년|middle age
