원래|originally, usually
간단한|simple
애완동물|pet
키우다|to raise, to grow
병아리|chick, baby chicken
물고기|fish
강아지|dog, puppy
아파트|apartment
주택|house
마당|yard
중학교|middle school
자라다|to grow up
장르|genre
다양하다|to be varied, to be various
들어 있다|to be in something, to be included
선택하다|to choose
주로|mainly, mostly
주인공|main actor, main character
연기를 잘하다|to act well
새로|newly
다운 받다|to download something on the Internet
작가|writer, author
방법|method
부럽다|to be jealous, envious
계절|season
기대되다|to be excited for, to look forward to
이상형|ideal type
듬직한|reliable, dependable
덩치가 크다|to be built (body type)
성격|personality
기대다|to lean on
무뚝뚝하다|to be blunt, to be brusque
대개|generally, usually
다정하다|to be kind, to be friendly
자상하다|to be thoughtful, to be considerate
외모|appearance
마른|thin, skinny
구체적이다|to be specific
도움이 되다|to be helpful
눈이 높다|to be picky
혼술|drinking alone
유행이다|to be in fashion
혼밥|eating alone
자취하다|to live alone
이해가 가다|to understand
좋아지다|to become better
어떤 점|what part, what point
모습|figure, looks, appearance
기록하다|to record
떠올리다|to recall, to be reminded
제목|title
내용|contents
동시에|at the same time
자기 계발서|self-help book
경|management
관련|related
육아|childcare, parenting
의심|suspicion, distrust, skepticism
의심이 들다|to be doubtful, to have doubt
그대로|as it is
새로운|new
가만히|staying still
경치|sight, view
공기|air
특별하다|to be special
느껴지다|to feel
새우|shrimp
해산물|seafood
게|crab
초밥|sushi
회|sashimi
편식|being picky about food
심하다|to be severe, to be harsh
파|green onion
부대찌개|spicy sausage stew with ramyeon noodles
햄|ham
종류|type
빼다|to take something away, to count something out
애들|kids
대부분|mostly, majority, in the most part
억지로|by force
직업|job
