간단한|simple
애완동물|pet
강아지|dog, puppy
주인공|main actor, main character
연기를 잘하다|to act well
계절|season
기대되다|to be excited for, to look forward to
성격|personality
대개|generally, usually
자상하다|to be thoughtful, to be considerate
외모|appearance
도움이 되다|to be helpful
자취하다|to live alone
떠올리다|to recall, to be reminded
제목|title
동시에|at the same time
자기 계발서|self-help book
관련|related
의심|suspicion, distrust, skepticism
의심이 들다|to be doubtful, to have doubt
그대로|as it is
가만히|staying still
경치|sight, view
특별하다|to be special
느껴지다|to feel
해산물|seafood
편식|being picky about food
종류|type
억지로|by force
직업|job
